generation,N_shifts,logPrior,logLik,eventRate,acceptRate
2465001,2,29.1531,-26014.8,1.56556,0.1972
2470001,3,42.247,-26013.9,0.0420353,0.1952
2475001,4,63.1241,-26014.3,0.216145,0.2186
2480001,3,46.1892,-26018.2,1.0421,0.23
2485001,2,29.117,-26014.2,1.66781,0.2156
2490001,2,30.5997,-26015.3,0.307829,0.1818
2495001,3,47.514,-26016,0.275162,0.206
2500001,3,43.6028,-26013.6,1.84509,0.217
2505001,2,29.6954,-26014.6,0.114727,0.2284
2510001,2,28.958,-26014.9,0.414071,0.2206
2515001,2,31.0437,-26016,0.577056,0.1772
2520001,2,30.6959,-26017.5,1.34831,0.1696
2525001,3,44.9407,-26018.5,0.760248,0.2468
2530001,2,29.9215,-26013.8,0.278133,0.2408
2535001,4,61.9336,-26016.4,1.49929,0.1806
2540001,4,59.7719,-26014.3,1.154,0.2608
2545001,2,30.6499,-26016.9,0.329313,0.2116
2550001,3,46.6635,-26020.1,0.661364,0.2386
2555001,2,31.6407,-26020.2,0.255857,0.1878
2560001,2,28.4525,-26016.8,1.56988,0.1782
2565001,2,29.7957,-26018.9,0.666936,0.1974
2570001,3,40.4938,-26016,5.04266,0.234
2575001,2,30.7025,-26017.8,0.23739,0.2038
2580001,3,43.4922,-26020.8,1.45824,0.211
2585001,2,31.0411,-26016.7,0.545594,0.2222
2590001,2,30.1042,-26015,0.433165,0.2012
2595001,2,31.07,-26017.8,0.963462,0.1874
2600001,2,31.0583,-26017.3,0.726651,0.2364
2605001,2,30.0432,-26016.8,0.978087,0.2112
2610001,2,30.2314,-26014.6,0.588241,0.1852
2615001,2,30.413,-26014,0.859955,0.2138
2620001,2,30.0159,-26016.7,1.31623,0.2112
2625001,2,29.8069,-26015.5,0.77116,0.2096
2630001,2,29.5622,-26014,0.499058,0.2006
