"spp.name","region","extant","env.opt","time.of.origin","time.of.extinction","time.of.sp.origin","reg.env","carry.cap","reg.alpha","time.of.sp.extinction"
16151,5,1,18.496044182003,15741,31203,15741,18.1818181818182,22000,4.6e-06,31203
16177,1,1,3.63606230053781,15769,53198,15769,3.63636363636364,22000,1e-06,53198
16177,2,0,3.63606230053781,31361,31363,15769,7.27272727272727,22000,1.9e-06,53198
16337,3,1,10.5924453798066,15887,37352,15887,10.9090909090909,22000,2.8e-06,37352
16349,2,1,7.90301924862462,15897,31282,15897,7.27272727272727,22000,1.9e-06,31282
16377,3,1,10.9281985886425,15916,40680,15916,10.9090909090909,22000,2.8e-06,40680
16383,5,1,17.1892785401778,15920,30230,15920,18.1818181818182,22000,4.6e-06,30230
16383,6,0,17.1892785401778,19329,19332,15920,21.8181818181818,22000,5.5e-06,30230
16412,2,1,6.83813783235591,15941,38213,15941,7.27272727272727,22000,1.9e-06,38213
16475,1,1,2.01793369227413,15980,30556,15980,3.63636363636364,22000,1e-06,30556
16487,10,1,35.8910579372737,15989,31536,15989,36.3636363636364,22000,9.1e-06,31536
16556,1,1,2.80087410162024,16040,36908,16040,3.63636363636364,22000,1e-06,36908
16591,1,1,4.96130493925389,16067,30520,16067,3.63636363636364,22000,1e-06,30520
16608,1,1,3.7175688533625,16076,52991,16076,3.63636363636364,22000,1e-06,52991
16697,2,1,6.27310929917156,16142,32905,16142,7.27272727272727,22000,1.9e-06,32905
16697,1,0,6.27310929917156,21221,21288,16142,3.63636363636364,22000,1e-06,32905
16747,1,1,2.50633090917754,16182,35926,16182,3.63636363636364,22000,1e-06,35926
16749,2,1,7.2157851784567,16183,59357,16183,7.27272727272727,22000,1.9e-06,59357
16855,3,1,11.1320327825564,16260,51756,16260,10.9090909090909,22000,2.8e-06,51756
16914,4,1,14.5492963683309,16298,45278,16298,14.5454545454545,22000,3.7e-06,45278
16926,5,0,22.0982019662764,41277,41278,16306,18.1818181818182,22000,4.6e-06,41873
16926,6,1,22.0982019662764,16306,41873,16306,21.8181818181818,22000,5.5e-06,41873
16964,3,1,11.5207249126125,16336,30654,16336,10.9090909090909,22000,2.8e-06,30654
16977,8,1,29.3547596558218,16342,33234,16342,29.0909090909091,22000,7.3e-06,33234
16984,1,1,3.86517612371472,16350,44038,16350,3.63636363636364,22000,1e-06,44038
17061,3,1,10.3733479320351,16403,32210,16403,10.9090909090909,22000,2.8e-06,32210
17113,1,1,2.8529519405099,16443,31182,16443,3.63636363636364,22000,1e-06,31182
17116,3,0,7.75861299208008,19975,19982,16445,10.9090909090909,22000,2.8e-06,31854
17116,2,1,7.75861299208008,16445,31854,16445,7.27272727272727,22000,1.9e-06,31854
17318,1,1,3.18927826558659,16608,41990,16608,3.63636363636364,22000,1e-06,41990
17318,2,0,3.18927826558659,34445,34447,16608,7.27272727272727,22000,1.9e-06,41990
17420,1,1,4.42173725210167,16686,35695,16686,3.63636363636364,22000,1e-06,35695
17445,4,1,14.5598942532092,16707,45232,16707,14.5454545454545,22000,3.7e-06,45232
17474,2,1,7.33218578861969,16727,43741,16727,7.27272727272727,22000,1.9e-06,43741
17480,1,1,3.56510243284966,16731,30973,16731,3.63636363636364,22000,1e-06,30973
17534,2,1,7.84400454107903,16768,38028,16768,7.27272727272727,22000,1.9e-06,38028
17551,4,1,14.2360186110558,16784,34918,16784,14.5454545454545,22000,3.7e-06,34918
17551,5,0,14.2360186110558,26087,26088,16784,18.1818181818182,22000,4.6e-06,34918
17627,7,1,26.1743703982149,16835,30630,16835,25.4545454545455,22000,6.4e-06,30630
17645,5,1,17.871063532781,16845,32469,16845,18.1818181818182,22000,4.6e-06,32469
17668,2,1,7.66278141029834,16864,49246,16864,7.27272727272727,22000,1.9e-06,49246
17696,3,0,7.5036327353027,29715,29718,16879,10.9090909090909,22000,2.8e-06,35182
17696,2,1,7.5036327353027,16879,35182,16879,7.27272727272727,22000,1.9e-06,35182
17697,3,1,10.7202785240171,16881,39037,16881,10.9090909090909,22000,2.8e-06,39037
17732,5,1,18.2244253237087,16905,32842,16905,18.1818181818182,22000,4.6e-06,32842
17736,3,0,6.96036884557651,32347,32350,16908,10.9090909090909,22000,2.8e-06,41071
17736,2,1,6.96036884557651,16908,41071,16908,7.27272727272727,22000,1.9e-06,41071
17742,8,1,29.5062994174392,16916,31784,16916,29.0909090909091,22000,7.3e-06,31784
17783,10,1,36.2334463535306,16945,30057,16945,36.3636363636364,22000,9.1e-06,30057
17797,2,1,7.29010431444066,16958,30992,16958,7.27272727272727,22000,1.9e-06,30992
17832,3,1,11.1789614446741,16985,39456,16985,10.9090909090909,22000,2.8e-06,39456
17835,1,1,4.46546584504019,16986,30327,16986,3.63636363636364,22000,1e-06,30327
